COL1,COL2,COL3,COL4
pantalon,à,élastiques,ils
à,élastiques,ils,traversèrent
élastiques,ils,traversèrent,la
ils,traversèrent,la,salle
traversèrent,la,salle,esquissant
la,salle,esquissant,un
salle,esquissant,un,pas
esquissant,un,pas,de
un,pas,de,deux
pas,de,deux,d
de,deux,d,autres
deux,d,autres,les
d,autres,les,suivirent
autres,les,suivirent,puis
les,suivirent,puis,d
suivirent,puis,d,autres
puis,d,autres,passèrent
d,autres,passèrent,en
autres,passèrent,en,courant
passèrent,en,courant,poussant
en,courant,poussant,des
courant,poussant,des,cris
poussant,des,cris,poursuivis
des,cris,poursuivis,par
cris,poursuivis,par,un
poursuivis,par,un,grand
par,un,grand,pierrot
un,grand,pierrot,blafard
grand,pierrot,blafard,aux
pierrot,blafard,aux,manches
blafard,aux,manches,trop
aux,manches,trop,longues
manches,trop,longues,coiffé
trop,longues,coiffé,d
longues,coiffé,d,un
coiffé,d,un,bonnet
d,un,bonnet,noir
un,bonnet,noir,et
bonnet,noir,et,riant
noir,et,riant,d
et,riant,d,une
riant,d,une,bouche
d,une,bouche,édentée
une,bouche,édentée,il
bouche,édentée,il,courait
édentée,il,courait,à
il,courait,à,grandes
courait,à,grandes,enjambées
à,grandes,enjambées,maladroites
grandes,enjambées,maladroites,comme
enjambées,maladroites,comme,si
maladroites,comme,si,à
comme,si,à,chaque
si,à,chaque,pas
à,chaque,pas,il
chaque,pas,il,eût
pas,il,eût,dû
il,eût,dû,faire
eût,dû,faire,un
dû,faire,un,saut
faire,un,saut,et
un,saut,et,il
saut,et,il,agitait
et,il,agitait,ses
il,agitait,ses,longues
agitait,ses,longues,manches
ses,longues,manches,vides
longues,manches,vides,les
manches,vides,les,jeunes
vides,les,jeunes,filles
les,jeunes,filles,en
jeunes,filles,en,avaient
filles,en,avaient,un
en,avaient,un,peu
avaient,un,peu,peur
un,peu,peur,les
peu,peur,les,jeunges
peur,les,jeunges,gens
les,jeunges,gens,lui
jeunges,gens,lui,serraient
gens,lui,serraient,la
lui,serraient,la,main
serraient,la,main,et
la,main,et,il
main,et,il,paraissait
et,il,paraissait,faire
il,paraissait,faire,la
paraissait,faire,la,joie
faire,la,joie,des
la,joie,des,enfants
joie,des,enfants,qui
des,enfants,qui,le
enfants,qui,le,poursuivaient
qui,le,poursuivaient,avec
le,poursuivaient,avec,des
poursuivaient,avec,des,cris
avec,des,cris,perçants
des,cris,perçants,au
cris,perçants,au,passage
perçants,au,passage,il
au,passage,il,regarda
passage,il,regarda,meaulnes
il,regarda,meaulnes,de
regarda,meaulnes,de,ses
meaulnes,de,ses,yeux
de,ses,yeux,vitreux
ses,yeux,vitreux,et
yeux,vitreux,et,l
vitreux,et,l,écolier
et,l,écolier,crut
l,écolier,crut,reconnaître
écolier,crut,reconnaître,complètement
crut,reconnaître,complètement,rasé
reconnaître,complètement,rasé,le
complètement,rasé,le,compagnon
rasé,le,compagnon,de
le,compagnon,de,m
compagnon,de,m,maloyau
de,m,maloyau,le
m,maloyau,le,bohémien
maloyau,le,bohémien,qui
le,bohémien,qui,tout
bohémien,qui,tout,à
qui,tout,à,l
tout,à,l,heure
à,l,heure,accrochait
l,heure,accrochait,les
heure,accrochait,les,lanternes
accrochait,les,lanternes,le
les,lanternes,le,repas
lanternes,le,repas,était
le,repas,était,terminé
repas,était,terminé,chacun
était,terminé,chacun,se
terminé,chacun,se,levait
chacun,se,levait,dans
se,levait,dans,les
levait,dans,les,couloirs
dans,les,couloirs,s
les,couloirs,s,organisaient
couloirs,s,organisaient,des
s,organisaient,des,rondes
organisaient,des,rondes,et
des,rondes,et,des
rondes,et,des,farandoles
et,des,farandoles,une
des,farandoles,une,musique
farandoles,une,musique,quelque
une,musique,quelque,part
musique,quelque,part,jouait
quelque,part,jouait,un
part,jouait,un,pas
jouait,un,pas,de
un,pas,de,menuet
pas,de,menuet,meaulnes
de,menuet,meaulnes,la
menuet,meaulnes,la,tête
meaulnes,la,tête,à
la,tête,à,demi
tête,à,demi,cachée
à,demi,cachée,dans
demi,cachée,dans,le
cachée,dans,le,collet
dans,le,collet,de
le,collet,de,son
collet,de,son,manteau
de,son,manteau,comme
son,manteau,comme,dans
manteau,comme,dans,une
comme,dans,une,fraise
dans,une,fraise,se
une,fraise,se,sentait
fraise,se,sentait,un
se,sentait,un,autre
sentait,un,autre,personnage
un,autre,personnage,lui
autre,personnage,lui,aussi
personnage,lui,aussi,gagné
lui,aussi,gagné,par
aussi,gagné,par,le
gagné,par,le,plaisir
par,le,plaisir,se
le,plaisir,se,mit
plaisir,se,mit,à
se,mit,à,poursuivre
mit,à,poursuivre,le
à,poursuivre,le,grand
poursuivre,le,grand,pierrot
le,grand,pierrot,à
grand,pierrot,à,travers
pierrot,à,travers,les
à,travers,les,couloirs
travers,les,couloirs,du
les,couloirs,du,domaine
couloirs,du,domaine,comme
du,domaine,comme,dans
domaine,comme,dans,les
comme,dans,les,coulisses
dans,les,coulisses,d
les,coulisses,d,un
coulisses,d,un,théâtre
d,un,théâtre,où
un,théâtre,où,la
théâtre,où,la,pantomime
où,la,pantomime,de
la,pantomime,de,la
pantomime,de,la,scène
de,la,scène,se
la,scène,se,fût
scène,se,fût,partout
se,fût,partout,répandue
fût,partout,répandue,il
partout,répandue,il,se
répandue,il,se,trouva
il,se,trouva,ainsi
se,trouva,ainsi,mêlé
trouva,ainsi,mêlé,jusqu
ainsi,mêlé,jusqu,à
mêlé,jusqu,à,la
jusqu,à,la,fin
à,la,fin,de
la,fin,de,la
fin,de,la,nuit
de,la,nuit,à
la,nuit,à,une
nuit,à,une,foule
à,une,foule,joyeuse
une,foule,joyeuse,aux
foule,joyeuse,aux,costumes
joyeuse,aux,costumes,extravagants
aux,costumes,extravagants,parfois
costumes,extravagants,parfois,il
extravagants,parfois,il,ouvrait
parfois,il,ouvrait,une
il,ouvrait,une,porte
ouvrait,une,porte,et
une,porte,et,se
porte,et,se,trouvait
et,se,trouvait,dans
se,trouvait,dans,une
trouvait,dans,une,chambre
dans,une,chambre,où
une,chambre,où,l
chambre,où,l,on
où,l,on,montrait
l,on,montrait,la
on,montrait,la,lanterne
montrait,la,lanterne,magique
la,lanterne,magique,des
lanterne,magique,des,enfants
magique,des,enfants,applaudissaient
des,enfants,applaudissaient,à
enfants,applaudissaient,à,grand
applaudissaient,à,grand,bruit
à,grand,bruit,parfois
grand,bruit,parfois,dans
bruit,parfois,dans,un
parfois,dans,un,coin
dans,un,coin,de
un,coin,de,salon
coin,de,salon,où
de,salon,où,l
salon,où,l,on
où,l,on,dansait
l,on,dansait,il
on,dansait,il,engageait
dansait,il,engageait,conversation
il,engageait,conversation,avec
engageait,conversation,avec,quelque
conversation,avec,quelque,dandy
avec,quelque,dandy,et
quelque,dandy,et,se
dandy,et,se,renseignait
et,se,renseignait,hâtivement
se,renseignait,hâtivement,sur
renseignait,hâtivement,sur,les
hâtivement,sur,les,costumes
sur,les,costumes,que
les,costumes,que,l
costumes,que,l,on
que,l,on,porterait
l,on,porterait,les
on,porterait,les,jours
porterait,les,jours,suivants
les,jours,suivants,un
jours,suivants,un,peu
suivants,un,peu,angoissé
un,peu,angoissé,à
peu,angoissé,à,la
angoissé,à,la,longue
à,la,longue,par
la,longue,par,tout
longue,par,tout,ce
par,tout,ce,plaisir
tout,ce,plaisir,qui
ce,plaisir,qui,s
plaisir,qui,s,offrait
qui,s,offrait,à
s,offrait,à,lui
offrait,à,lui,craignant
à,lui,craignant,à
lui,craignant,à,chaque
craignant,à,chaque,instant
à,chaque,instant,que
chaque,instant,que,son
instant,que,son,manteau
que,son,manteau,entr
son,manteau,entr,ouvert
manteau,entr,ouvert,ne
entr,ouvert,ne,laissât
ouvert,ne,laissât,voir
ne,laissât,voir,sa
laissât,voir,sa,blousse
voir,sa,blousse,de
sa,blousse,de,collégien
blousse,de,collégien,il
de,collégien,il,alla
collégien,il,alla,se
il,alla,se,réfugier
alla,se,réfugier,un
se,réfugier,un,instant
réfugier,un,instant,dans
un,instant,dans,la
instant,dans,la,partie
dans,la,partie,la
la,partie,la,plus
partie,la,plus,paisible
la,plus,paisible,et
plus,paisible,et,la
paisible,et,la,plus
et,la,plus,obscure
la,plus,obscure,de
plus,obscure,de,la
obscure,de,la,demeure
de,la,demeure,on
la,demeure,on,n
demeure,on,n,y
on,n,y,entendait
n,y,entendait,que
y,entendait,que,le
entendait,que,le,bruit
que,le,bruit,étouffé
le,bruit,étouffé,d
bruit,étouffé,d,un
étouffé,d,un,piano
d,un,piano,il
un,piano,il,entra
piano,il,entra,dans
il,entra,dans,une
entra,dans,une,pièce
dans,une,pièce,silencieuse
une,pièce,silencieuse,qui
pièce,silencieuse,qui,était
silencieuse,qui,était,une
qui,était,une,salle
était,une,salle,à
une,salle,à,manger
salle,à,manger,éclairée
à,manger,éclairée,par
manger,éclairée,par,une
éclairée,par,une,lampe
par,une,lampe,à
une,lampe,à,suspension
lampe,à,suspension,là
à,suspension,là,aussi
suspension,là,aussi,c
là,aussi,c,était
aussi,c,était,fête
c,était,fête,mais
était,fête,mais,fête
fête,mais,fête,pour
mais,fête,pour,les
fête,pour,les,petits
pour,les,petits,enfants
les,petits,enfants,les
petits,enfants,les,uns
enfants,les,uns,assis
les,uns,assis,sur
uns,assis,sur,des
assis,sur,des,poufs
sur,des,poufs,feuilletaient
des,poufs,feuilletaient,des
poufs,feuilletaient,des,albums
feuilletaient,des,albums,ouverts
des,albums,ouverts,sur
albums,ouverts,sur,leurs
ouverts,sur,leurs,genoux
sur,leurs,genoux,d
leurs,genoux,d,autres
genoux,d,autres,étaient
d,autres,étaient,accroupis
autres,étaient,accroupis,par
étaient,accroupis,par,terre
accroupis,par,terre,devant
par,terre,devant,une
terre,devant,une,chaise
devant,une,chaise,et
une,chaise,et,gravement
chaise,et,gravement,ils
et,gravement,ils,faisaient
gravement,ils,faisaient,sur
ils,faisaient,sur,le
faisaient,sur,le,siège
sur,le,siège,un
le,siège,un,étalage
siège,un,étalage,d
un,étalage,d,images
étalage,d,images,d
d,images,d,autres
images,d,autres,auprès
d,autres,auprès,du
autres,auprès,du,feu
auprès,du,feu,ne
du,feu,ne,disaient
feu,ne,disaient,rien
ne,disaient,rien,ne
disaient,rien,ne,faisaient
rien,ne,faisaient,rien
ne,faisaient,rien,mais
faisaient,rien,mais,ils
rien,mais,ils,écoutaient
mais,ils,écoutaient,au
ils,écoutaient,au,loin
écoutaient,au,loin,dans
au,loin,dans,l
loin,dans,l,immense
dans,l,immense,demeure
l,immense,demeure,la
immense,demeure,la,rumeur
demeure,la,rumeur,de
la,rumeur,de,la
rumeur,de,la,fête
de,la,fête,une
la,fête,une,porte
fête,une,porte,de
une,porte,de,cette
porte,de,cette,salle
de,cette,salle,à
cette,salle,à,manger
salle,à,manger,était
à,manger,était,grande
manger,était,grande,ouverte
était,grande,ouverte,on
grande,ouverte,on,entendait
ouverte,on,entendait,dans
on,entendait,dans,la
entendait,dans,la,pièce
dans,la,pièce,attenante
la,pièce,attenante,jouer
pièce,attenante,jouer,du
attenante,jouer,du,piano
jouer,du,piano,meaulnes
du,piano,meaulnes,avança
piano,meaulnes,avança,curieusement
meaulnes,avança,curieusement,la
avança,curieusement,la,tête
curieusement,la,tête,c
la,tête,c,était
tête,c,était,une
c,était,une,sorte
était,une,sorte,de
une,sorte,de,petit
sorte,de,petit,salon-parloir
de,petit,salon-parloir,une
petit,salon-parloir,une,femme
salon-parloir,une,femme,ou
une,femme,ou,une
femme,ou,une,jeune
ou,une,jeune,fille
une,jeune,fille,un
jeune,fille,un,grand
fille,un,grand,manteau
un,grand,manteau,marron
grand,manteau,marron,jeté
manteau,marron,jeté,sur
marron,jeté,sur,ses
jeté,sur,ses,épaules
sur,ses,épaules,tournait
ses,épaules,tournait,le
épaules,tournait,le,dos
tournait,le,dos,jouant
le,dos,jouant,très
dos,jouant,très,doucement
jouant,très,doucement,des
très,doucement,des,airs
doucement,des,airs,de
des,airs,de,rondes
airs,de,rondes,ou
de,rondes,ou,de
rondes,ou,de,chansonnettes
ou,de,chansonnettes,sur
de,chansonnettes,sur,le
chansonnettes,sur,le,divan
sur,le,divan,tout
le,divan,tout,à
divan,tout,à,côté
tout,à,côté,six
à,côté,six,ou
côté,six,ou,sept
six,ou,sept,petits
ou,sept,petits,garçons
sept,petits,garçons,et
petits,garçons,et,petites
garçons,et,petites,filles
et,petites,filles,rangés
petites,filles,rangés,comme
filles,rangés,comme,sur
rangés,comme,sur,une
comme,sur,une,image
sur,une,image,sages
une,image,sages,comme
image,sages,comme,le
sages,comme,le,sont
comme,le,sont,les
le,sont,les,enfants
sont,les,enfants,lorsqu
les,enfants,lorsqu,il
enfants,lorsqu,il,se
lorsqu,il,se,fait
il,se,fait,tard
se,fait,tard,écoutaient
fait,tard,écoutaient,de
tard,écoutaient,de,temps
écoutaient,de,temps,en
de,temps,en,temps
temps,en,temps,seulement
en,temps,seulement,l
temps,seulement,l,un
seulement,l,un,d
l,un,d,eux
un,d,eux,arc-bouté
d,eux,arc-bouté,sur
eux,arc-bouté,sur,les
arc-bouté,sur,les,poignets
sur,les,poignets,se
les,poignets,se,soulevait
poignets,se,soulevait,glissait
se,soulevait,glissait,à
soulevait,glissait,à,terre
glissait,à,terre,et
à,terre,et,passait
terre,et,passait,dans
et,passait,dans,la
passait,dans,la,salle
dans,la,salle,à
la,salle,à,manger:
salle,à,manger:,un
à,manger:,un,de
manger:,un,de,ceux
un,de,ceux,qui
de,ceux,qui,avaient
ceux,qui,avaient,fini
qui,avaient,fini,de
avaient,fini,de,regarder
fini,de,regarder,les
de,regarder,les,images
regarder,les,images,venait
les,images,venait,prendre
images,venait,prendre,sa
venait,prendre,sa,place
prendre,sa,place,après
sa,place,après,cette
place,après,cette,fête
après,cette,fête,où
cette,fête,où,tout
fête,où,tout,était
où,tout,était,charmant
tout,était,charmant,mais
était,charmant,mais,fiévreux
charmant,mais,fiévreux,et
mais,fiévreux,et,fou
fiévreux,et,fou,où
et,fou,où,lui-
fou,où,lui-,même
où,lui-,même,avait
lui-,même,avait,si
même,avait,si,follement
avait,si,follement,poursuivi
si,follement,poursuivi,le
follement,poursuivi,le,grand
poursuivi,le,grand,pierrot
le,grand,pierrot,meaulnes
grand,pierrot,meaulnes,se
pierrot,meaulnes,se,trouvait
meaulnes,se,trouvait,là
se,trouvait,là,plongé
trouvait,là,plongé,dans
là,plongé,dans,le
plongé,dans,le,bonheur
dans,le,bonheur,le
le,bonheur,le,plus
bonheur,le,plus,calme
le,plus,calme,du
plus,calme,du,monde
calme,du,monde,sans
du,monde,sans,bruit
monde,sans,bruit,tandis
sans,bruit,tandis,que
bruit,tandis,que,la
tandis,que,la,jeune
que,la,jeune,fille
la,jeune,fille,continuait
jeune,fille,continuait,à
fille,continuait,à,jouer
continuait,à,jouer,il
à,jouer,il,retourna
jouer,il,retourna,s
il,retourna,s,asseoir
retourna,s,asseoir,dans
s,asseoir,dans,la
asseoir,dans,la,salle
dans,la,salle,à
la,salle,à,manger
salle,à,manger,et
à,manger,et,ouvrant
manger,et,ouvrant,un
et,ouvrant,un,des
ouvrant,un,des,gros
un,des,gros,livres
des,gros,livres,rouges
gros,livres,rouges,épars
livres,rouges,épars,sur
rouges,épars,sur,la
épars,sur,la,table
sur,la,table,il
la,table,il,commença
table,il,commença,distraitement
il,commença,distraitement,à
commença,distraitement,à,lire
distraitement,à,lire,presque
à,lire,presque,aussitôt
lire,presque,aussitôt,un
presque,aussitôt,un,des
aussitôt,un,des,petits
un,des,petits,qui
des,petits,qui,étaient
petits,qui,étaient,par
qui,étaient,par,terre
étaient,par,terre,s
par,terre,s,approcha
terre,s,approcha,se
s,approcha,se,pendit
approcha,se,pendit,à
se,pendit,à,son
pendit,à,son,bras
à,son,bras,et
son,bras,et,grimpa
bras,et,grimpa,sur
et,grimpa,sur,son
grimpa,sur,son,genou
sur,son,genou,pour
son,genou,pour,regarder
genou,pour,regarder,en
pour,regarder,en,même
regarder,en,même,temps
en,même,temps,que
même,temps,que,lui
temps,que,lui,un
que,lui,un,autre
lui,un,autre,en
un,autre,en,fit
autre,en,fit,autant
en,fit,autant,de
fit,autant,de,l
autant,de,l,autre
de,l,autre,côté
l,autre,côté,alors
autre,côté,alors,ce
côté,alors,ce,fut
alors,ce,fut,un
ce,fut,un,rêve
fut,un,rêve,comme
un,rêve,comme,son
rêve,comme,son,rêve
comme,son,rêve,de
son,rêve,de,jadis
rêve,de,jadis,il
de,jadis,il,put
jadis,il,put,imaginer
il,put,imaginer,longuement
put,imaginer,longuement,qu
imaginer,longuement,qu,il
longuement,qu,il,était
qu,il,était,dans
il,était,dans,sa
était,dans,sa,propre
dans,sa,propre,maison
sa,propre,maison,marié
propre,maison,marié,un
maison,marié,un,beau
marié,un,beau,soir
un,beau,soir,et
beau,soir,et,que
soir,et,que,cet
et,que,cet,être
que,cet,être,charmant
cet,être,charmant,et
être,charmant,et,inconnu
charmant,et,inconnu,qui
et,inconnu,qui,jouait
inconnu,qui,jouait,du
qui,jouait,du,piano
jouait,du,piano,près
du,piano,près,de
piano,près,de,lui
près,de,lui,c
de,lui,c,était
lui,c,était,sa
c,était,sa,femme
était,sa,femme,chapitre
sa,femme,chapitre,xv
femme,chapitre,xv,la
chapitre,xv,la,rencontre
xv,la,rencontre,le
la,rencontre,le,lendemain
rencontre,le,lendemain,matin
le,lendemain,matin,meaulnes
lendemain,matin,meaulnes,fut
matin,meaulnes,fut,prêt
meaulnes,fut,prêt,un
fut,prêt,un,des
prêt,un,des,premiers
un,des,premiers,comme
des,premiers,comme,on
premiers,comme,on,le
comme,on,le,lui
on,le,lui,avait
le,lui,avait,conseillé
lui,avait,conseillé,il
avait,conseillé,il,revêtit
conseillé,il,revêtit,un
il,revêtit,un,simple
revêtit,un,simple,costume
un,simple,costume,noir
simple,costume,noir,de
costume,noir,de,mode
noir,de,mode,passée
de,mode,passée,une
mode,passée,une,jaquette
passée,une,jaquette,serrée
une,jaquette,serrée,à
jaquette,serrée,à,la
serrée,à,la,taille
à,la,taille,avec
la,taille,avec,des
taille,avec,des,manches
avec,des,manches,bouffant
des,manches,bouffant,aux
manches,bouffant,aux,épaules
bouffant,aux,épaules,un
aux,épaules,un,gilet
épaules,un,gilet,croisé
un,gilet,croisé,un
gilet,croisé,un,pantalon
croisé,un,pantalon,élargi
un,pantalon,élargi,du
pantalon,élargi,du,bas
élargi,du,bas,jusqu
du,bas,jusqu,à
bas,jusqu,à,cacher
jusqu,à,cacher,ses
à,cacher,ses,fines
cacher,ses,fines,chaussures
ses,fines,chaussures,et
fines,chaussures,et,un
chaussures,et,un,chapeau
et,un,chapeau,haut
un,chapeau,haut,de
chapeau,haut,de,forme
haut,de,forme,la
de,forme,la,cour
forme,la,cour,était
la,cour,était,déserte
cour,était,déserte,encore
était,déserte,encore,lorsqu
déserte,encore,lorsqu,il
encore,lorsqu,il,descendit
lorsqu,il,descendit,il
il,descendit,il,fit
descendit,il,fit,quelques
il,fit,quelques,pas
fit,quelques,pas,et
quelques,pas,et,se
pas,et,se,trouva
et,se,trouva,comme
se,trouva,comme,transporté
trouva,comme,transporté,dans
comme,transporté,dans,une
transporté,dans,une,journée
dans,une,journée,de
une,journée,de,printemps
journée,de,printemps,ce
de,printemps,ce,fut
printemps,ce,fut,en
ce,fut,en,effet
fut,en,effet,le
en,effet,le,matin
effet,le,matin,le
le,matin,le,plus
matin,le,plus,doux
le,plus,doux,de
plus,doux,de,cet
doux,de,cet,hiver-là
de,cet,hiver-là,il
cet,hiver-là,il,faisait
hiver-là,il,faisait,du
il,faisait,du,soleil
faisait,du,soleil,comme
du,soleil,comme,aux
soleil,comme,aux,premiers
comme,aux,premiers,jours
aux,premiers,jours,d
premiers,jours,d,avril
jours,d,avril,le
d,avril,le,givre
avril,le,givre,fondait
le,givre,fondait,et
givre,fondait,et,l
fondait,et,l,herbe
et,l,herbe,mouillée
l,herbe,mouillée,brillait
herbe,mouillée,brillait,comme
mouillée,brillait,comme,humectée
brillait,comme,humectée,de
comme,humectée,de,rosée
humectée,de,rosée,dans
de,rosée,dans,les
rosée,dans,les,arbres
dans,les,arbres,plusieurs
les,arbres,plusieurs,petits
arbres,plusieurs,petits,oiseaux
plusieurs,petits,oiseaux,chantaient
petits,oiseaux,chantaient,et
oiseaux,chantaient,et,de
chantaient,et,de,temps
et,de,temps,à
de,temps,à,autre
temps,à,autre,une
à,autre,une,brise
autre,une,brise,tiédie
une,brise,tiédie,coulait
brise,tiédie,coulait,sur
tiédie,coulait,sur,le
coulait,sur,le,visage
sur,le,visage,du
le,visage,du,promeneur
visage,du,promeneur,il
du,promeneur,il,fit
promeneur,il,fit,comme
il,fit,comme,les
fit,comme,les,invités
comme,les,invités,qui
les,invités,qui,se
invités,qui,se,sont
qui,se,sont,éveillés
se,sont,éveillés,avant
sont,éveillés,avant,le
éveillés,avant,le,maître
avant,le,maître,de
le,maître,de,la
maître,de,la,maison
de,la,maison,il
la,maison,il,sortit
maison,il,sortit,dans
il,sortit,dans,la
sortit,dans,la,cour
dans,la,cour,du
la,cour,du,domaine
cour,du,domaine,pensant
du,domaine,pensant,à
domaine,pensant,à,chaque
pensant,à,chaque,instant
à,chaque,instant,qu
chaque,instant,qu,une
instant,qu,une,voix
qu,une,voix,cordiale
une,voix,cordiale,et
voix,cordiale,et,joyeuse
cordiale,et,joyeuse,allait
et,joyeuse,allait,crier
joyeuse,allait,crier,derrière
allait,crier,derrière,lui:
crier,derrière,lui:,déjà
derrière,lui:,déjà,réveillé
lui:,déjà,réveillé,augustin
déjà,réveillé,augustin,mais
réveillé,augustin,mais,il
augustin,mais,il,se
mais,il,se,promena
il,se,promena,longtemps
se,promena,longtemps,seul
promena,longtemps,seul,à
longtemps,seul,à,travers
seul,à,travers,le
à,travers,le,jardin
travers,le,jardin,et
le,jardin,et,la
jardin,et,la,cour
et,la,cour,là-
la,cour,là-,bas
cour,là-,bas,dans
là-,bas,dans,le
bas,dans,le,bâtiment
dans,le,bâtiment,principal
le,bâtiment,principal,rien
bâtiment,principal,rien,ne
principal,rien,ne,remuait
rien,ne,remuait,ni
ne,remuait,ni,aux
remuait,ni,aux,fenêtres
ni,aux,fenêtres,ni
aux,fenêtres,ni,à
fenêtres,ni,à,la
ni,à,la,tourelle
à,la,tourelle,on
la,tourelle,on,avait
tourelle,on,avait,ouvert
on,avait,ouvert,déjà
avait,ouvert,déjà,cependant
ouvert,déjà,cependant,les
déjà,cependant,les,deux
cependant,les,deux,battants
les,deux,battants,de
deux,battants,de,la
battants,de,la,ronde
de,la,ronde,porte
la,ronde,porte,de
ronde,porte,de,bois
porte,de,bois,et
de,bois,et,dans
bois,et,dans,une
et,dans,une,des
dans,une,des,fenêtres
une,des,fenêtres,du
des,fenêtres,du,haut
fenêtres,du,haut,un
du,haut,un,rayon
haut,un,rayon,de
un,rayon,de,soleil
rayon,de,soleil,donnait
de,soleil,donnait,comme
soleil,donnait,comme,en
donnait,comme,en,été
comme,en,été,aux
en,été,aux,premières
été,aux,premières,heures
aux,premières,heures,du
premières,heures,du,matin
heures,du,matin,meaulnes
du,matin,meaulnes,pour
matin,meaulnes,pour,la
meaulnes,pour,la,première
pour,la,première,fois
la,première,fois,regardait
première,fois,regardait,en
fois,regardait,en,plein
regardait,en,plein,jour
en,plein,jour,l
plein,jour,l,intérieur
jour,l,intérieur,de
l,intérieur,de,la
intérieur,de,la,propriété
de,la,propriété,les
la,propriété,les,vestiges
propriété,les,vestiges,d
les,vestiges,d,un
vestiges,d,un,mur
d,un,mur,séparaient
un,mur,séparaient,le
mur,séparaient,le,jardin
séparaient,le,jardin,délabré
le,jardin,délabré,de
jardin,délabré,de,la
délabré,de,la,cour
de,la,cour,où
la,cour,où,l
cour,où,l,on
où,l,on,avait
l,on,avait,depuis
on,avait,depuis,peu
avait,depuis,peu,versé
depuis,peu,versé,du
peu,versé,du,sable
versé,du,sable,et
du,sable,et,passé
sable,et,passé,le
et,passé,le,râteau
passé,le,râteau,a
le,râteau,a,l
râteau,a,l,extrémité
a,l,extrémité,des
l,extrémité,des,dépendances
extrémité,des,dépendances,qu
des,dépendances,qu,il
dépendances,qu,il,habitait
qu,il,habitait,c
il,habitait,c,étaient
habitait,c,étaient,des
c,étaient,des,écuries
étaient,des,écuries,bâties
des,écuries,bâties,dans
écuries,bâties,dans,un
bâties,dans,un,amusant
dans,un,amusant,désordre
un,amusant,désordre,qui
amusant,désordre,qui,multipliait
désordre,qui,multipliait,les
qui,multipliait,les,recoins
multipliait,les,recoins,garnis
les,recoins,garnis,d
recoins,garnis,d,arbrisseaux
garnis,d,arbrisseaux,fous
d,arbrisseaux,fous,et
arbrisseaux,fous,et,de
fous,et,de,vigne
et,de,vigne,vierge
de,vigne,vierge,jusque
vigne,vierge,jusque,sur
vierge,jusque,sur,le
jusque,sur,le,domaine
sur,le,domaine,déferlaient
le,domaine,déferlaient,des
domaine,déferlaient,des,bois
déferlaient,des,bois,de
des,bois,de,sapins
bois,de,sapins,qui
de,sapins,qui,le
sapins,qui,le,cachaient
qui,le,cachaient,à
le,cachaient,à,tout
cachaient,à,tout,le
à,tout,le,pays
tout,le,pays,plat
le,pays,plat,sauf
pays,plat,sauf,vers
plat,sauf,vers,l
sauf,vers,l,est
vers,l,est,où
l,est,où,l
est,où,l,on
où,l,on,apercevait
l,on,apercevait,des
on,apercevait,des,collines
apercevait,des,collines,bleues
des,collines,bleues,couvertes
collines,bleues,couvertes,de
bleues,couvertes,de,rochers
couvertes,de,rochers,et
de,rochers,et,de
rochers,et,de,sapins
et,de,sapins,encore
de,sapins,encore,un
sapins,encore,un,instant
encore,un,instant,dans
un,instant,dans,le
instant,dans,le,jardin
dans,le,jardin,meaulnes
le,jardin,meaulnes,se
jardin,meaulnes,se,pencha
meaulnes,se,pencha,sur
se,pencha,sur,la
pencha,sur,la,branlante
sur,la,branlante,barrière
la,branlante,barrière,de
branlante,barrière,de,bois
barrière,de,bois,qui
de,bois,qui,entourait
bois,qui,entourait,le
qui,entourait,le,vivier
entourait,le,vivier,vers
le,vivier,vers,les
vivier,vers,les,bords
vers,les,bords,il
les,bords,il,restait
bords,il,restait,un
il,restait,un,peu
restait,un,peu,de
un,peu,de,glace
peu,de,glace,mince
de,glace,mince,et
glace,mince,et,plissée
mince,et,plissée,comme
et,plissée,comme,une
plissée,comme,une,écume
comme,une,écume,il
une,écume,il,s
écume,il,s,aperçut
il,s,aperçut,lui-même
s,aperçut,lui-même,reflété
aperçut,lui-même,reflété,dans
lui-même,reflété,dans,l
reflété,dans,l,eau
dans,l,eau,comme
l,eau,comme,incliné
eau,comme,incliné,sur
comme,incliné,sur,le
incliné,sur,le,ciel
sur,le,ciel,dans
le,ciel,dans,son
ciel,dans,son,costume
dans,son,costume,d
son,costume,d,étudiant
costume,d,étudiant,romantique
d,étudiant,romantique,et
étudiant,romantique,et,il
romantique,et,il,crut
et,il,crut,voir
il,crut,voir,un
crut,voir,un,autre
voir,un,autre,meaulnes
un,autre,meaulnes,non
autre,meaulnes,non,plus
meaulnes,non,plus,l
non,plus,l,écolier
plus,l,écolier,qui
l,écolier,qui,s
écolier,qui,s,était
qui,s,était,évadé
s,était,évadé,dans
était,évadé,dans,une
évadé,dans,une,carriole
dans,une,carriole,de
une,carriole,de,paysan
carriole,de,paysan,mais
de,paysan,mais,un
paysan,mais,un,être
mais,un,être,charmant
un,être,charmant,et
être,charmant,et,romanesque
charmant,et,romanesque,au
et,romanesque,au,milieu
romanesque,au,milieu,d
au,milieu,d,un
milieu,d,un,beau
d,un,beau,livre
un,beau,livre,de
beau,livre,de,prix
livre,de,prix,il
de,prix,il,se
prix,il,se,hâta
il,se,hâta,vers
se,hâta,vers,le
hâta,vers,le,bâtiment
